test,items,capacity,ff_bins,ffd_bins,bf_bins,ff_ms,ffd_ms,bf_ms
1,50,959,32,32,32,0.4715,0.4287,7.0134
2,174,996,103,100,102,1.584,3.2244,76.5561
3,53,993,33,32,33,0.2238,1.1758,14.6766
4,241,997,133,125,131,1.2288,3.1144,113.9204
5,69,997,36,34,36,0.1133,0.5774,6.1451
6,348,1000,190,183,187,1.7226,6.1807,220.1225
7,54,990,32,31,32,0.094,0.465,4.5107
8,398,1000,229,220,226,2.3495,6.4765,327.5812
9,201,998,104,98,103,0.8023,2.3887,90.6668
10,268,993,143,137,141,1.2032,3.3503,137.0075
11,181,997,98,92,97,0.6218,1.9748,62.3064
12,87,997,49,45,49,0.43,0.8289,27.3884
13,157,996,90,85,89,0.4866,1.6867,45.7026
14,100,988,59,56,59,0.269,0.9646,17.8709
15,74,988,43,41,43,0.1354,0.6413,9.972
16,298,993,173,168,171,1.3777,4.867,182.5254
17,166,997,90,85,88,1.4595,2.5204,69.6096
18,75,987,42,39,42,0.1276,0.6695,7.8371
19,224,1000,127,121,126,0.9744,2.8626,96.0859
20,421,998,207,199,204,2.9701,7.0917,311.772
21,181,998,106,103,104,1.5385,3.8627,107.9523
22,296,1000,165,159,163,2.2126,4.1705,195.724
23,383,998,200,193,197,9.4652,6.5123,302.0625
24,490,999,277,264,273,9.1578,8.6456,534.7469
25,54,988,33,33,33,0.1007,0.4361,5.3612
26,225,986,120,116,120,1.0117,3.7625,97.6341
27,321,1000,171,164,168,1.4609,4.3048,194.427
28,200,1000,116,114,116,1.073,2.4476,92.0666
29,67,994,38,36,38,0.5238,1.9174,24.2231
30,396,998,212,206,208,4.8897,6.7635,319.479
31,412,999,225,216,223,2.548,7.6323,340.2118
32,316,998,182,177,179,1.5578,6.9361,199.3114
33,369,1000,198,190,196,2.0435,6.1585,253.8137
34,208,999,123,118,122,0.7755,2.534,87.5175
35,63,978,43,39,43,0.3167,0.8309,14.6596
36,368,995,217,209,214,3.3855,5.8041,282.8726
37,102,998,58,56,57,0.2244,1.2391,22.157
38,334,1000,192,184,190,1.9164,5.3116,222.043
39,227,981,129,124,125,1.2135,2.76,103.8538
40,208,996,127,123,126,0.7179,3.1342,87.7196
41,103,992,59,54,58,0.342300000001,1.0117,16.439
42,316,992,176,170,174,1.5743,4.2778,184.4158
43,421,998,221,210,219,12.1247,7.9108,491.2671
44,378,1000,210,200,208,2.3956,5.5644,281.7153
45,319,996,173,164,171,1.4545,4.5426,183.108
46,470,1000,253,242,249,11.303,7.4617,515.8484
47,237,989,121,115,121,0.8321,2.8299,94.895
48,426,1000,250,247,247,11.0498,8.1666,408.3493
49,198,990,103,96,102,0.6357,2.3671,67.5709
50,422,1000,232,221,227,6.9989,6.4192,363.937
